,job_title,company_name,inferred_city,inferred_state,inferred_country,post_date,salary_offered
0,Data Scientist,FARMERS INSURANCE GROUP,Woodland hills,California,Usa,2/6/2019,
1,Data Scientist,LUXOFT USA INC,Middletown,New jersey,Usa,2/5/2019,
2,Data Scientist,CINCINNATI BELL TECHNOLOGY SOLUTIONS,New york,New york,Usa,2/5/2019,
3,Data Scientist,BLACKROCK,New york,New york,Usa,2/6/2019,
4,Data Scientist,CYBERCODERS,Charlotte,North carolina,Usa,2/5/2019,
5,Data Scientist,JP MORGAN CHASE,New york,New york,Usa,2/5/2019,
6,Data Scientist,SPOTIFY,New york,New york,Usa,2/6/2019,
7,Data Scientist,XORIANT CORPORATION,Santa clara,California,Usa,2/6/2019,
8,Data Scientist,BLACKROCK,New york,New york,Usa,2/6/2019,
9,Data Scientist,ADROIT RESOURCES,San francisco,California,Usa,2/5/2019,
10,Data Scientist,NORTHROP GRUMMAN,Monterey,California,Usa,2/6/2019,
11,Data Scientist,ENVOY CONSULTING GROUP,Reston,Virginia,Usa,2/5/2019,
12,Data Scientist,NOBLIS,Reston,Virginia,Usa,2/6/2019,
13,Data Scientist,ARUP LABORATORIES,Salt lake city,Utah,Usa,2/6/2019,
14,Data Scientist,PERSPECTA,Washington,Washington d.c.,Usa,2/5/2019,
15,Data Scientist,PYRAMID CONSULTING,Mclean,Virginia,Usa,2/5/2019,
16,Data Scientist,ORPINE.COM,Boston,Massachusetts,Usa,2/5/2019,
17,Data Scientist,APEIRO TECHNOLOGIES,Mclean,Virginia,Usa,2/5/2019,
18,Data Scientist,BANK OF AMERICA,Seattle,Washington,Usa,2/6/2019,
19,Data Scientist,SALLIE MAE,Newark,Delaware,Usa,2/6/2019,
20,Data Scientist,TABOOLA,Los angeles,California,Usa,2/6/2019,
21,Data Scientist,VIDEOAMP,Santa monica,California,Usa,2/6/2019,
22,Data Scientist,APPLE,Cambridge,Massachusetts,Usa,2/6/2019,
23,Data Scientist,AMTEX ENTERPRISES,Plano,Texas,Usa,2/6/2019,
24,Data Scientist,SYSMIND,Dallas,Texas,Usa,2/5/2019,
25,Data Scientist,FOCUZMINDZ,Dallas,Texas,Usa,2/5/2019,
26,Data Scientist,DIGITAL INTELLIGENCE SYSTEMS,Houston,Texas,Usa,2/5/2019,
27,Data Scientist,ADVENT GLOBAL SOLUTIONS,Bothell,Washington,Usa,2/5/2019,
28,Data Scientist,RESOURCE INFORMATICS GROUP,Houston,Texas,Usa,2/6/2019,
29,Data Scientist,VIRI TECHNOLOGY,Seattle,Washington,Usa,2/6/2019,
30,Data Scientist,KFORCE TECHNOLOGY STAFFING,Irvine,California,Usa,2/7/2019,
31,Data Scientist,L3 TECHNOLOGIES,Chantilly,Virginia,Usa,2/3/2019,
32,Data Scientist,APEX SYSTEMS,West chester,Ohio,Usa,2/5/2019,
33,Data Scientist,JEFFERSON FRANK,Tallahassee,Florida,Usa,2/5/2019,
34,Data Scientist,5 STAR GLOBAL RECRUITMENT PARTNERS,Dallas,Texas,Usa,2/5/2019,
35,Data Scientist,IQVIA,Plymouth meeting,Pennsylvania,Usa,2/5/2019,
36,Data Scientist,GRANT THORNTON LLP,Alexandria,Virginia,Usa,2/5/2019,
37,Data Scientist,EXPERIS,Seattle,Washington,Usa,2/5/2019,
38,Data Scientist,JEFFERSON FRANK,Tampa,Florida,Usa,2/5/2019,
39,Data Scientist,STAFFING TECHNOLOGIES,Boston,Massachusetts,Usa,2/1/2019,
40,Data Scientist,AEROTEK,Waltham,Massachusetts,Usa,2/5/2019,
41,Data Scientist,KRAFT HEINZ COMPANY,San francisco,California,Usa,2/6/2019,
42,Data Scientist,CRITEO,Palo alto,California,Usa,2/6/2019,
43,Data Scientist,COMCAST,Philadelphia,Pennsylvania,Usa,2/6/2019,
44,Data Scientist,FIREEYE,Reston,Virginia,Usa,2/6/2019,
45,Data Scientist,EVENTBRITE,San francisco,California,Usa,2/6/2019,
46,Data Scientist,BANK OF AMERICA,Charlotte,North carolina,Usa,2/6/2019,
47,Data Scientist,KFORCE TECHNOLOGY,Irvine,California,Usa,2/5/2019,
48,Data Scientist,HAMILTON TECHNICAL PERSONNEL,New york,New york,Usa,2/6/2019,
49,Data Scientist,USM BUSINESS SYSTEMS,New york,New york,Usa,2/6/2019,
50,Data Scientist,UBERGIG,New york,New york,Usa,2/6/2019,
